OBJECTID,IESCARACTE,Institución,Sector,Sede,Dirección,Teléfono,Página web,coord_x,coord_y
247,3,Corporación Universitaria Republicana,Privado,Principal,KR 7 19 38,2862384,www.urepublicana.edu.co/,-74.07098867270629,4.605574682549814
248,3,Corporación Universitaria  UNITEC,Privado,Principal,CL 76 12 58,5939393,www.unitec.edu.co/,-74.05732259600077,4.661965730110956
249,3,Escuela de Inteligencia y Contrainteligencia Brigadier General Ricardo Charry Solano,Oficial,Principal,KR 8A 101 33,6017515,www.esici.edu.co/,-74.03923807472194,4.682469077713915
250,3,Escuela de Logística,Oficial,Principal,CL 11 SUR 10 50 ESTE,0,No disponible,-74.07121844378968,4.571500138398124
251,3,Escuela Superior de Guerra,Oficial,Principal,KR 11 102 50,6204066,www.esdegue.mil.co/,-74.04177090700487,4.6849981084155825
252,3,Centro de Educación Militar,Oficial,Principal,CL 102 7 80,6204985,www.cemil.mil.co/,-74.03886235794762,4.68253633392953
253,3,Instituto Militar Aeronáutico  Capitán José Edmundo Sandoval,Oficial,Principal,KR 11 102 50,6378927,www.ima.edu.co/,-74.04250944793255,4.684556258361876
254,2,Fundación Tecnológica Autónoma de Bogotá,Privado,Principal,KR 14 80 35,6913862,www.faba.edu.co/,-74.05635774789346,4.666524219444105
255,2,Fundación Centro de Investigación Docencia y Consultoría Administrativa,Privado,Principal,CL 61 11 09,3472927,www.cidca.edu.co./,-74.06336294792126,4.647287948058398
256,3,Fundación Universitaria-INPAHU,Privado,Principal,DG 40A 15 58,3323500,www.inpahu.edu.co/,-74.069838246136,4.629237833029568
257,3,Institución Universitaria Latina,Privado,Principal,CL 46 3 09,2879421,www.unilatina.edu.co/,-74.06150646260564,4.631741978188487
258,2,Fundación Tecnológica San Francisco de Asís,Privado,Principal,KR 10 23 32,3103891,www.tecnologicafusfa.edu.co/,-74.07174630013883,4.610010465324879
178,4,Universidad Santo Tomas,Privado,Alterna,KR 9A 63 28,5878797,www.usta.edu.co/,-74.06119322096438,4.649086744009592
179,4,Universidad Santo Tomas,Privado,Alterna,AK 45 209 51,5878797,www.usta.edu.co/,-74.04229631185163,4.787870077883227
180,4,Universidad Externado de Colombia,Privado,Principal,CL 11 3 44 ESTE,3420288,www.uexternado.edu.co/,-74.0687016482312,4.595299705148979
181,4,Fundación Universidad de Bogotá  Jorge Tadeo Lozano,Privado,Principal,KR 4 22 61,3341777,www.utadeo.edu.co/,-74.06823305374134,4.60699029952702
182,4,Universidad Central,Privado,Principal,KR 5 21 38,3239868,www.ucentral.edu.co/,-74.06864981903257,4.606182433368949
183,4,Universidad Central,Privado,Alterna,CL 75 15 65,3239868,www.ucentral.edu.co/,-74.0605905780712,4.662256678111081
184,4,Universidad Central,Privado,Alterna,KR 15 71 12,3239868,www.ucentral.edu.co/,-74.06327376228154,4.658695944132962
185,4,Colegio Mayor de Nuestra Señora del Rosario,Privado,Principal,CL 14 6 25,2431716,www.urosario.edu.co/,-74.07324745864045,4.6002883647185495
186,4,Colegio Mayor de Nuestra Señora del Rosario,Privado,Alterna,AK 45 198 40,2979200,www.urosario.edu.co/,-74.03968022370816,4.776361874288046
187,4,Colegio Mayor de Nuestra Señora del Rosario,Privado,Alterna,AK 24 63C 69,2431716,www.urosario.edu.co/,-74.07299010478626,4.6543744621859435
188,4,Fundación Universidad de América,Privado,Principal,KR 5 ESTE 19A 07,3376680,www.uamerica.edu.co/,-74.06271415318203,4.601695033540059
189,4,Fundación Universidad de América,Privado,Alterna,CL 106 19 18,6580658,www.uamerica.edu.co/,-74.05119116928354,4.692976033487939
190,4,Universidad de San Buenaventura,Privado,Principal,KR 8H 172 20,6671090,www.usbbog.edu.co/,-74.02987012583385,4.750927193552005
191,4,Universidad Católica de Colombia,Privado,Principal,Av Caracas No. 46 64,2452239,www.ucatolica.edu.co/,-74.06700713185624,4.6340596062232144
192,4,Universidad Católica de Colombia,Privado,Alterna,KR 13 47 49,2452239,www.ucatolica.edu.co/,-74.0663546028204,4.63489932143232
193,4,Universidad Católica de Colombia,Privado,Alterna,DG 46A 15B 10,2452239,www.ucatolica.edu.co/,-74.06880921519826,4.635074866466965
194,4,Fundación Universidad Autónoma de Colombia,Privado,Principal,CL 12B  4 31,3343696,www.fuac.edu.co/,-74.07226071679302,4.598054556287653
195,4,Universidad Sergio Arboleda,Privado,Principal,CL 74 14 14,5400300,www.usergioarboleda.edu.co/,-74.05971651011322,4.661122790784614
196,4,Universidad el Bosque,Privado,Principal,KR 7B BIS  132 11,2743096,www.unbosque.edu.co/,-74.03082706068184,4.710537258027409
197,4,Universidad el Bosque,Privado,Alterna,AK 9 131A 02,6489000,www.unbosque.edu.co/,-74.03230996182363,4.710444789813783
198,4,Universidad Manuela Beltran,Privado,Principal,KR 3 57 10,5460600,www.umb.edu.co/,-74.05389762704627,4.642264459041677
199,4,Universidad la Gran Colombia,Privado,Principal,KR 6 12B 28,3276999,www.ulagrancolombia.edu.co/,-74.07294790283254,4.599621434893843
200,4,Universidad la Gran Colombia,Privado,Alterna,KR 9 42A 22,3406475,www.ulagrancolombia.edu.co/,-74.0658096173954,4.630178588164916
201,4,Universidad de la Salle,Privado,Principal,KR 5 59A 44,3375050,www.lasalle.edu.co/,-74.05945819865497,4.644604716928777
202,4,Universidad de la Salle,Privado,Alterna,KR 2  10  52,3535360,www.lasalle.edu.co/,-74.07053610056785,4.594579012710476
203,4,Universidad de la Salle,Privado,Alterna,KR 9 172-85,3375050,www.lasalle.edu.co/,-74.02353808016083,4.749860686940445
204,4,Universidad Libre,Privado,Principal,CL 8 5 80,3821000,www.unilibre.edu.co/,-74.07551152666846,4.595127018332
205,4,Universidad Libre,Privado,Alterna,AK 70 53 40,4232772,www.unilibre.edu.co/,-74.10236699805714,4.6661505287717375
285,1,Corporación Unificada Nacional de Educación Superior,Privado,Principal,KR 5 12 64,3813222,www.cun.edu.co/,-74.07247904244136,4.5984241657895
286,3,Corporación Escuela de Artes y Letras,Privado,Principal,CL 70 12 40,2175327,www.escueladeartesyletras.com/,-74.06141736679744,4.656191690525068
287,1,Corporación Instituto Superior de Educación Social,Privado,Principal,KR 23 63 36,5441388,www.ises.edu.co/,-74.07145587480747,4.651333606970089
288,3,Escuela Colombiana de Carreras Industriales,Privado,Principal,KR 19 49 20,3537171,www.ecci.edu.co/,-74.07113730974983,4.637434522299445
289,3,Escuela Militar de Cadetes General José María Córdova,Oficial,Principal,AC 80 50 06,4377777,www.esmic.edu.co/,-74.06998292430409,4.6791902013331095
290,3,Escuela de Ingenieros Militares,Oficial,Principal,AK 50 18A 46,4468702,www.esing.mil.co/,-74.10218106116636,4.630770094460879
291,3,Instituto Caro y Cuervo,Oficial,Principal,CL 10 4 69,3422121,www.caroycuervo.gov.co,-74.07398495482745,4.595743931124285
292,2,Servicio Nacional de Aprendizaje-Sena-,Oficial,Principal,KR 13 65 10,5461600,www.sena.edu.co/,-74.06280045882295,4.6518221922593215
293,1,Fundación Politécnica CORPO,Privado,Principal,KR 17 151 27,0,www.fundacionpolitecnicacorpo.edu.co/,-74.04329983422855,4.7330108630720735
294,2,Fundación Tecnológica Liderazgo Canadiense Internacional,Privado,Principal,KR 13 75 74,2174757,No disponible,-74.05789639758345,4.6616590320003635
295,3,Fundación Universitaria CAFAM,Privado,Principal,AK 68 90 88,6468000,www.unicafam.edu.co/,-74.07480438096165,4.685898214290326
296,3,Fundación Universitaria Cervantina San Agustín,Privado,Principal,KR 8 83 29,3213381,www.unicervantina.edu.co/,-74.04953600001636,4.664564485086519
297,3,Fundación Universitaria CIEO,Privado,Principal,KR 5 118 10,6371160,No disponible,-74.02903570771589,4.694297273859886
298,3,Institución Universitaria de Colombia,Privado,Principal,KR 7 35 85,2324070,www.universitariadecolombia.edu.co/,-74.06670696429565,4.623244559208884
299,2,Corporación de Educación Tecnológica Colsubsidio,Privado,Principal,DG 36 BIS  20 74,3389700,www.colsubsidio.com/,-74.07459039956602,4.626244724471457
300,2,Fundación Tecnológica Colombo Germana,Privado,Principal,AK 14 63 87,5951951,No disponible,-74.0649821737973,4.651283847514435
301,3,Fundación Universitaria Escuela Colombiana de Medicina Homeopática,Privado,Principal,KR 5 65 50,3452530,www.uniluisgpaez.edu.co/,-74.05745797391073,4.648676479353772
302,3,Corporación Universitaria de Asturias,Privado,Principal,KR 18B 106A 15,7423680,www.uniasturias.edu.co/,-74.04990477640678,4.693360484811674
